year,week,country,total_hours,bloqs
2026,1,FR,264858,690
2026,2,FR,289062,762
2026,3,FR,320845,823
2026,4,FR,345024,876
2026,5,FR,367145,937
2026,6,FR,389759,974
2026,7,FR,399630,985
2026,8,FR,413935,1035
2026,9,FR,428687,1044
2026,10,FR,436931,1062
2026,11,FR,444734,1079
2026,12,FR,453020,1093
2026,13,FR,455931,1095
2026,14,FR,461514,1110
2026,15,FR,467186,1119
2026,16,FR,472037,1130
2026,17,FR,479529,1150
2026,18,FR,489530,1177
2026,19,FR,496087,1196
2026,20,FR,193593,1216
2026,1,GB,283119,735
2026,2,GB,295497,773
2026,3,GB,320980,825
2026,4,GB,342320,872
2026,5,GB,358054,897
2026,6,GB,371950,916
2026,7,GB,380725,936
2026,8,GB,392668,962
2026,9,GB,419897,1022
2026,10,GB,442405,1028
2026,11,GB,447871,1036
2026,12,GB,455286,1058
2026,13,GB,466212,1081
2026,14,GB,476293,1096
2026,15,GB,479367,1100
2026,16,GB,485834,1119
2026,17,GB,494796,1141
2026,18,GB,506133,1163
2026,19,GB,512820,1171
2026,20,GB,198634,1175
